!	bang|exclamation|mark|point
#	hash|hashtag|lb|number|pound|sign
#⃣	keycap
$	dollar|money|peso|usd
🇵🇫	flag|french|polynesia
🇵🇬	flag|papua|new|guinea
🇵🇭	flag|philippines
🇵🇰	flag|pakistan
🇵🇱	flag|poland
🇵🇲	flag|st|pierre|miquelon
🇵🇳	flag|pitcairn|islands
🇵🇷	flag|puerto|rico
🇵🇸	flag|palestinian|territories
🇵🇹	flag|portugal
🇵🇼	flag|palau
🇵🇾	flag|paraguay
🇶🇦	flag|qatar
🇷🇪	flag|union
🇷🇴	flag|romania
🇷🇸	flag|serbia
🇷🇺	flag|russia
🇷🇼	flag|rwanda
🇸🇦	flag|saudi|arabia
🇸🇧	flag|solomon|islands
🇸🇨	flag|seychelles
🇸🇩	flag|sudan
🇸🇪	flag|sweden
🇸🇬	flag|singapore
🇸🇭	flag|st|helena
🇸🇮	flag|slovenia
🇸🇯	flag|svalbard|jan|mayen
🇸🇰	flag|slovakia
🇸🇱	flag|sierra|leone
🇸🇲	flag|san|marino
🇸🇳	flag|senegal
🇸🇴	flag|somalia
🇸🇷	flag|suriname
🇸🇸	flag|south|sudan
🇸🇹	flag|tom|pr|ncipe
🇸🇻	flag|el|salvador
🇸🇽	flag|sint|maarten
🇸🇾	flag|syria
🇸🇿	flag|eswatini
🇹🇦	flag|tristan|da|cunha
🇹🇨	flag|turks|caicos|islands
🇹🇩	flag|chad
🇹🇫	flag|french|southern|territories
🇹🇬	flag|togo
🇹🇭	flag|thailand
🇹🇯	flag|tajikistan
🇹🇰	flag|tokelau
🇹🇱	flag|timor|leste
🇹🇲	flag|turkmenistan
🇹🇳	flag|tunisia
🇹🇴	flag|tonga
🇹🇷	flag|rkiye
🇹🇹	flag|trinidad|tobago
🇹🇻	flag|tuvalu
🇹🇼	flag|taiwan
🇹🇿	flag|tanzania
🇺🇦	flag|ukraine
🇺🇬	flag|uganda
🇺🇲	flag|outlying|islands
🇺🇳	flag|united|nations
🇺🇸	flag|united|states
🇺🇾	flag|uruguay
🇺🇿	flag|uzbekistan
🇻🇦	flag|vatican|city
🇻🇨	flag|st|vincent|grenadines
🇻🇪	flag|venezuela
🇻🇬	flag|british|virgin|islands
🇻🇮	flag|virgin|islands
🇻🇳	flag|vietnam
🇻🇺	flag|vanuatu
🇼🇫	flag|wallis|futuna
🇼🇸	flag|samoa
🇽🇰	flag|kosovo
🇾🇪	flag|yemen
🇾🇹	flag|mayotte
🇿🇦	flag|south|africa
🇿🇲	flag|zambia
🇿🇼	flag|zimbabwe
🈁	button|here|japanese|katakana
🈂	button|charge|japanese|katakana|service
🈚	button|charge|free|ideograph|japanese
🈯	button|ideograph|japanese|reserved
🈲	button|ideograph|japanese|prohibited
🈳	button|ideograph|japanese|vacancy
🈴	button|grade|ideograph|japanese|passing
🈵	button|ideograph|japanese|no|vacancy
🈶	button|charge|free|ideograph|japanese|not
🈷	amount|button|ideograph|japanese|monthly
🈸	application|button|ideograph|japanese
🈹	button|discount|ideograph|japanese
🈺	business|button|ideograph|japanese|open
🉐	bargain|button|ideograph|japanese
🉑	acceptable|button|ideograph|japanese
🌀	cyclone|dizzy|hurricane|twister|typhoon|weather
🌁	fog|foggy
🌂	closed|clothing|rain|umbrella
🌃	night|star|stars
🌄	morning|mountains|over|sun|sunrise
🌅	morning|nature|sun|sunrise
🌆	building|city|cityscape|dusk|evening|landscape|sun|sunset
🌇	building|dusk|sun|sunset
🌈	gay|genderqueer|glbt|glbtq|lesbian|lgbt|lgbtq|lgbtqia|nature|pride|queer|rain|rainbow|trans|transgender|weather
🌉	bridge|night
🌊	nature|ocean|surf|surfer|surfing|water|wave
🌋	eruption|mountain|nature|volcano
🌌	milky|space|way
🌍	africa|earth|europe|globe|showing|world
🌎	americas|earth|globe|showing|world
🌏	asia|australia|earth|globe|showing|world
🌐	earth|globe|internet|meridians|web|world|worldwide
🌑	dark|moon|new|space
🌒	crescent|dreams|moon|space|waxing
🌓	first|moon|quarter|space
🌔	gibbous|moon|space|waxing
🌕	full|moon|space
🌖	gibbous|moon|space|waning
🌗	last|moon|quarter|space
🌘	crescent|moon|space|waning
🌙	crescent|moon|ramadan|space
🌚	face|moon|new|space
🌛	face|first|moon|quarter|space
🌜	dreams|face|last|moon|quarter
🌝	bright|face|full|moon
🌞	beach|bright|day|face|heat|shine|sun|sunny|sunshine|weather
🌟	glittery|glow|glowing|night|shining|sparkle|star|win
🌠	falling|night|shooting|space|star
🌡	thermometer|weather
🌤	behind|cloud|sun|weather|small
🌥	behind|cloud|sun|weather|large
🌦	behind|cloud|rain|sun|weather
🌧	cloud|rain|weather
🌨	cloud|cold|snow|weather
🌩	cloud|lightning|weather
🌪	cloud|tornado|weather|whirlwind
🌫	cloud|fog|weather
🌬	blow|cloud|face|wind
🌭	dog|frankfurter|hot|hotdog|sausage
🌮	mexican|taco
🌯	burrito|mexican|wrap
🌰	almond|chestnut|plant
🌱	plant|sapling|seedling|sprout|young
🌲	christmas|evergreen|forest|pine|tree
🌳	deciduous|forest|green|habitat|shedding|tree
🌴	beach|palm|plant|tree|tropical
🌵	cactus|desert|drought|nature|plant
🌶	hot|pepper
🌷	blossom|flower|growth|plant|tulip
🌸	blossom|cherry|flower|plant|spring|springtime
🌹	beauty|elegant|flower|love|plant|red|rose|valentine
🌺	flower|hibiscus|plant
🌻	flower|outdoors|plant|sun|sunflower
🌼	blossom|buttercup|dandelion|flower|plant
🌽	corn|crops|ear|farm|maize|maze
🌾	ear|grain|grains|plant|rice|sheaf
🌿	herb|leaf|plant
🍀	clover|four|leaf|irish|lucky|plant
🍁	falling|leaf|maple
🍂	autumn|fall|fallen|falling|leaf
🍃	blow|flutter|fluttering|leaf|wind
🍄	fungus|mushroom|toadstool
🍄‍🟫	food|fungi|fungus|mushroom|nature|pizza|portobello|shiitake|shroom|spore|sprout|toppings|truffle|vegetable|vegetarian|veggie|brown
🍅	food|fruit|tomato|vegetable
🍆	aubergine|eggplant|vegetable
🍇	dionysus|fruit|grape|grapes
🍈	cantaloupe|fruit|melon
🍉	fruit|watermelon
🍊	citrus|fruit|nectarine|orange|tangerine|vitamin
🍋	citrus|fruit|lemon|sour
🍋‍🟩	acidity|citrus|cocktail|fruit|garnish|key|lime|margarita|mojito|refreshing|salsa|sour|tangy|tequila|tropical|zest
🍌	banana|fruit|potassium
🍍	colada|fruit|pina|pineapple|tropical
🍎	apple|diet|food|fruit|health|red|ripe
🍏	apple|fruit|green
🍐	fruit|pear
🍑	fruit|peach
🍒	berries|cherries|cherry|fruit|red
🍓	berry|fruit|strawberry
🍔	burger|eat|fast|food|hamburger|hungry
🍕	cheese|food|hungry|pepperoni|pizza|slice
🍖	bone|meat
🍗	bone|chicken|drumstick|hungry|leg|poultry|turkey
🍘	cracker|food|rice
🍙	ball|food|japanese|rice
🍚	cooked|food|rice
🍛	curry|food|rice
🍜	bowl|chopsticks|food|noodle|pho|ramen|soup|steaming
🍝	food|meatballs|pasta|restaurant|spaghetti
🍞	bread|carbs|food|grain|loaf|restaurant|toast|wheat
🍟	fast|food|french|fries
🍠	food|potato|roasted|sweet
🍡	dango|dessert|japanese|skewer|stick|sweet
🍢	food|kebab|oden|restaurant|seafood|skewer|stick
🍣	food|sushi
🍤	fried|prawn|shrimp|tempura
🍥	cake|fish|food|pastry|restaurant|swirl
🍦	cream|dessert|food|ice|icecream|restaurant|serve|soft|sweet
🍧	dessert|ice|restaurant|shaved|sweet
🍨	cream|dessert|food|ice|restaurant|sweet
🍩	breakfast|dessert|donut|doughnut|food|sweet
🍪	chip|chocolate|cookie|dessert|sweet
🍫	bar|candy|chocolate|dessert|halloween|sweet|tooth
🍬	candy|cavities|dessert|halloween|restaurant|sweet|tooth|wrapper
🍭	candy|dessert|food|lollipop|restaurant|sweet
🍮	custard|dessert|pudding|sweet
🍯	barrel|bear|food|honey|honeypot|jar|pot|sweet
🍰	cake|dessert|pastry|shortcake|slice|sweet
🍱	bento|box|food
🍲	food|pot|soup|stew
🍳	breakfast|cooking|easy|egg|fry|frying|over|pan|restaurant|side|sunny|up
🍴	breakfast|breaky|cooking|cutlery|delicious|dinner|eat|feed|food|fork|hungry|knife|lunch|restaurant|yum|yummy
🍵	beverage|cup|drink|handle|oolong|tea|teacup
🍶	bar|beverage|bottle|cup|drink|restaurant|sake
🍷	alcohol|bar|beverage|booze|club|drink|drinking|drinks|glass|restaurant|wine
🍸	alcohol|bar|booze|club|cocktail|drink|drinking|drinks|glass|mad|martini|men
🍹	alcohol|bar|booze|club|cocktail|drink|drinking|drinks|drunk|mai|party|tai|tropical|tropics
🍺	alcohol|ale|bar|beer|booze|drink|drinking|drinks|mug|octoberfest|oktoberfest|pint|stein|summer
🍻	alcohol|bar|beer|booze|bottoms|cheers|clink|clinking|drinking|drinks|mugs
🍼	babies|baby|birth|born|bottle|drink|infant|milk|newborn
🍽	cooking|dinner|eat|fork|knife|plate
🍾	bar|bottle|cork|drink|popping
🍿	corn|movie|pop|popcorn
🎀	celebration|ribbon
🎁	birthday|bow|box|celebration|christmas|gift|present|surprise|wrapped
🎂	bday|birthday|cake|celebration|dessert|happy|pastry|sweet
🎃	celebration|halloween|jack|lantern|pumpkin
🎄	celebration|christmas|tree
🎅	celebration|christmas|claus|fairy|fantasy|father|holiday|merry|santa|tale|xmas
🎅🏻	celebration|christmas|claus|fairy|fantasy|father|holiday|light|skin|tone|merry|santa|tale|xmas
🎅🏼	celebration|christmas|claus|fairy|fantasy|father|holiday|medium|light|skin|tone|merry|santa|tale|xmas
🎅🏽	celebration|christmas|claus|fairy|fantasy|father|holiday|medium|skin|tone|merry|santa|tale|xmas
🎅🏾	celebration|christmas|claus|fairy|fantasy|father|holiday|medium|dark|skin|tone|merry|santa|tale|xmas
🎅🏿	celebration|christmas|claus|dark|skin|tone|fairy|fantasy|father|holiday|merry|santa|tale|xmas
🎆	boom|celebration|entertainment|fireworks|yolo
🎇	boom|celebration|fireworks|sparkle|sparkler
🎈	balloon|birthday|celebrate|celebration
🎉	awesome|birthday|celebrate|celebration|excited|hooray|party|popper|tada|woohoo
🎊	ball|celebrate|celebration|confetti|party|woohoo
🎋	banner|celebration|japanese|tanabata|tree
🎌	celebration|cross|crossed|flags|japanese
🎍	bamboo|celebration|decoration|japanese|pine|plant
🎎	celebration|doll|dolls|festival|japanese
🎏	carp|celebration|streamer
🎐	bell|celebration|chime|wind
🎑	celebration|ceremony|moon|viewing
🎒	backpack|backpacking|bag|bookbag|education|rucksack|satchel|school
🎓	cap|celebration|clothing|education|graduation|hat|scholar
🎖	award|celebration|medal|military
🎗	celebration|reminder|ribbon
🎙	mic|microphone|music|studio
🎚	level|music|slider
🎛	control|knobs|music
🎞	cinema|film|frames|movie
🎟	admission|ticket|tickets
🎠	carousel|entertainment|horse
🎡	amusement|ferris|park|theme|wheel
🎢	amusement|coaster|park|roller|theme
🎣	entertainment|fish|fishing|pole|sport
🎤	karaoke|mic|microphone|music|sing|sound
🎥	bollywood|camera|cinema|film|hollywood|movie|record
🎦	camera|cinema|film|movie
🎧	earbud|headphone|sound
🎨	art|artist|artsy|arty|colorful|creative|entertainment|museum|painter|painting|palette
🎩	clothes|clothing|fancy|formal|hat|magic|top|tophat
🎪	circus|tent
🎫	admission|stub|ticket
🎬	action|board|clapper|movie
🎭	actor|actress|art|arts|entertainment|mask|performing|theater|theatre|thespian
🎮	controller|entertainment|game|video
🎯	bull|bullseye|dart|direct|entertainment|game|hit|target
🎰	casino|gamble|gambling|game|machine|slot|slots
🎱	8ball|ball|billiard|eight|game|pool
🎲	dice|die|entertainment|game
🎳	ball|bowling|game|sport|strike
🎴	card|cards|flower|game|japanese|playing
🎵	music|musical|note|sound
🎶	music|musical|note|notes|sound
🎷	instrument|music|sax|saxophone
🎸	guitar|instrument|music|strat
🎹	instrument|keyboard|music|musical|piano
🎺	instrument|music|trumpet
🎻	instrument|music|violin
🎼	music|musical|note|score
🎽	athletics|running|sash|shirt
🎾	ball|racquet|sport|tennis
🎿	ski|skis|snow|sport
🏀	ball|basketball|hoop|sport
🏁	checkered|chequered|finish|flag|flags|game|race|racing|sport|win
🏂	ski|snow|snowboard|snowboarder|sport
🏂🏻	light|skin|tone|ski|snow|snowboard|snowboarder|sport
🏂🏼	medium|light|skin|tone|ski|snow|snowboard|snowboarder|sport
🏂🏽	medium|skin|tone|ski|snow|snowboard|snowboarder|sport
🏂🏾	medium|dark|skin|tone|ski|snow|snowboard|snowboarder|sport
🏂🏿	dark|skin|tone|ski|snow|snowboard|snowboarder|sport
🏃	fast|hurry|marathon|move|person|quick|race|racing|run|rush|speed|running
🏃‍♀	fast|hurry|marathon|move|quick|race|racing|run|rush|speed|woman|running
🏃‍♀‍➡	facing|fast|hurry|marathon|move|quick|race|racing|right|run|rush|speed|woman|running
🏃‍♂	fast|hurry|man|marathon|move|quick|race|racing|run|rush|speed|running
🏃‍♂‍➡	facing|fast|hurry|man|marathon|move|quick|race|racing|right|run|rush|speed|running
🏃‍➡	facing|fast|hurry|marathon|move|person|quick|race|racing|right|run|rush|speed|running
🏃🏻	fast|hurry|light|skin|tone|marathon|move|person|quick|race|racing|run|rush|speed|running
🏃🏻‍♀	fast|hurry|light|skin|tone|marathon|move|quick|race|racing|run|rush|speed|woman|running
🏃🏻‍♀‍➡	facing|fast|hurry|light|skin|tone|marathon|move|quick|race|racing|right|run|rush|speed|woman|running
🏃🏻‍♂	fast|hurry|light|skin|tone|man|marathon|move|quick|race|racing|run|rush|speed|running
🏃🏻‍♂‍➡	facing|fast|hurry|light|skin|tone|man|marathon|move|quick|race|racing|right|run|rush|speed|running
🏃🏻‍➡	facing|fast|hurry|light|skin|tone|marathon|move|person|quick|race|racing|right|run|rush|speed|running
🏃🏼	fast|hurry|marathon|medium|light|skin|tone|move|person|quick|race|racing|run|rush|speed|running
🏃🏼‍♀	fast|hurry|marathon|medium|light|skin|tone|move|quick|race|racing|run|rush|speed|woman|running
🏃🏼‍♀‍➡	facing|fast|hurry|marathon|medium|light|skin|tone|move|quick|race|racing|right|run|rush|speed|woman|running
🏃🏼‍♂	fast|hurry|man|marathon|medium|light|skin|tone|move|quick|race|racing|run|rush|speed|running
🏃🏼‍♂‍➡	facing|fast|hurry|man|marathon|medium|light|skin|tone|move|quick|race|racing|right|run|rush|speed|running
🏃🏼‍➡	facing|fast|hurry|marathon|medium|light|skin|tone|move|person|quick|race|racing|right|run|rush|speed|running
🏃🏽	fast|hurry|marathon|medium|skin|tone|move|person|quick|race|racing|run|rush|speed|running
🏃🏽‍♀	fast|hurry|marathon|medium|skin|tone|move|quick|race|racing|run|rush|speed|woman|running
🏃🏽‍♀‍➡	facing|fast|hurry|marathon|medium|skin|tone|move|quick|race|racing|right|run|rush|speed|woman|running
🏃🏽‍♂	fast|hurry|man|marathon|medium|skin|tone|move|quick|race|racing|run|rush|speed|running
🏃🏽‍♂‍➡	facing|fast|hurry|man|marathon|medium|skin|tone|move|quick|race|racing|right|run|rush|speed|running
🏃🏽‍➡	facing|fast|hurry|marathon|medium|skin|tone|move|person|quick|race|racing|right|run|rush|speed|running
🏃🏾	fast|hurry|marathon|medium|dark|skin|tone|move|person|quick|race|racing|run|rush|speed|running
🏃🏾‍♀	fast|hurry|marathon|medium|dark|skin|tone|move|quick|race|racing|run|rush|speed|woman|running
🏃🏾‍♀‍➡	facing|fast|hurry|marathon|medium|dark|skin|tone|move|quick|race|racing|right|run|rush|speed|woman|running
🏃🏾‍♂	fast|hurry|man|marathon|medium|dark|skin|tone|move|quick|race|racing|run|rush|speed|running
🏃🏾‍♂‍➡	facing|fast|hurry|man|marathon|medium|dark|skin|tone|move|quick|race|racing|right|run|rush|speed|running
🏃🏾‍➡	facing|fast|hurry|marathon|medium|dark|skin|tone|move|person|quick|race|racing|right|run|rush|speed|running
🏃🏿	dark|skin|tone|fast|hurry|marathon|move|person|quick|race|racing|run|rush|speed|running
🏃🏿‍♀	dark|skin|tone|fast|hurry|marathon|move|quick|race|racing|run|rush|speed|woman|running
🏃🏿‍♀‍➡	dark|skin|tone|facing|fast|hurry|marathon|move|quick|race|racing|right|run|rush|speed|woman|running
🏃🏿‍♂	dark|skin|tone|fast|hurry|man|marathon|move|quick|race|racing|run|rush|speed|running
🏃🏿‍♂‍➡	dark|skin|tone|facing|fast|hurry|man|marathon|move|quick|race|racing|right|run|rush|speed|running
🏃🏿‍➡	dark|skin|tone|facing|fast|hurry|marathon|move|person|quick|race|racing|right|run|rush|speed|running
🏄	beach|ocean|person|sport|surf|surfer|surfing|swell|waves
🏄‍♀	beach|ocean|person|sport|surf|surfer|surfing|swell|waves|woman
🏄‍♂	beach|man|ocean|sport|surf|surfer|surfing|swell|waves
🏄🏻	beach|light|skin|tone|ocean|person|sport|surf|surfer|surfing|swell|waves
🏄🏻‍♀	beach|light|skin|tone|ocean|person|sport|surf|surfer|surfing|swell|waves|woman
🏄🏻‍♂	beach|light|skin|tone|man|ocean|sport|surf|surfer|surfing|swell|waves
🏄🏼	beach|medium|light|skin|tone|ocean|person|sport|surf|surfer|surfing|swell|waves
🏄🏼‍♀	beach|medium|light|skin|tone|ocean|person|sport|surf|surfer|surfing|swell|waves|woman
🏄🏼‍♂	beach|man|medium|light|skin|tone|ocean|sport|surf|surfer|surfing|swell|waves
🏄🏽	beach|medium|skin|tone|ocean|person|sport|surf|surfer|surfing|swell|waves
🏄🏽‍♀	beach|medium|skin|tone|ocean|person|sport|surf|surfer|surfing|swell|waves|woman
🏄🏽‍♂	beach|man|medium|skin|tone|ocean|sport|surf|surfer|surfing|swell|waves
🏄🏾	beach|medium|dark|skin|tone|ocean|person|sport|surf|surfer|surfing|swell|waves
🏄🏾‍♀	beach|medium|dark|skin|tone|ocean|person|sport|surf|surfer|surfing|swell|waves|woman
🏄🏾‍♂	beach|man|medium|dark|skin|tone|ocean|sport|surf|surfer|surfing|swell|waves
🏄🏿	beach|dark|skin|tone|ocean|person|sport|surf|surfer|surfing|swell|waves
🏄🏿‍♀	beach|dark|skin|tone|ocean|person|sport|surf|surfer|surfing|swell|waves|woman
🏄🏿‍♂	beach|dark|skin|tone|man|ocean|sport|surf|surfer|surfing|swell|waves
🏅	award|gold|medal|sports|winner
🏆	champion|champs|prize|slay|sport|trophy|victory|win|winning
🏇	horse|jockey|racehorse|racing|riding|sport
🏇🏻	horse|jockey|light|skin|tone|racehorse|racing|riding|sport
🏇🏼	horse|jockey|medium|light|skin|tone|racehorse|racing|riding|sport
🏇🏽	horse|jockey|medium|skin|tone|racehorse|racing|riding|sport
🏇🏾	horse|jockey|medium|dark|skin|tone|racehorse|racing|riding|sport
🏇🏿	dark|skin|tone|horse|jockey|racehorse|racing|riding|sport
🏈	american|ball|bowl|football|sport|super
🏉	ball|football|rugby|sport
🏊	freestyle|person|sport|swim|swimmer|swimming|triathlon
🏊‍♀	freestyle|man|sport|swim|swimmer|swimming|triathlon|woman
🏊‍♂	freestyle|man|sport|swim|swimmer|swimming|triathlon
🏊🏻	freestyle|light|skin|tone|person|sport|swim|swimmer|swimming|triathlon
🏊🏻‍♀	freestyle|light|skin|tone|man|sport|swim|swimmer|swimming|triathlon|woman
🏊🏻‍♂	freestyle|light|skin|tone|man|sport|swim|swimmer|swimming|triathlon
🏊🏼	freestyle|medium|light|skin|tone|person|sport|swim|swimmer|swimming|triathlon
🏊🏼‍♀	freestyle|man|medium|light|skin|tone|sport|swim|swimmer|swimming|triathlon|woman
🏊🏼‍♂	freestyle|man|medium|light|skin|tone|sport|swim|swimmer|swimming|triathlon
🏊🏽	freestyle|medium|skin|tone|person|sport|swim|swimmer|swimming|triathlon
🏊🏽‍♀	freestyle|man|medium|skin|tone|sport|swim|swimmer|swimming|triathlon|woman
🏊🏽‍♂	freestyle|man|medium|skin|tone|sport|swim|swimmer|swimming|triathlon
🏊🏾	freestyle|medium|dark|skin|tone|person|sport|swim|swimmer|swimming|triathlon
🏊🏾‍♀	freestyle|man|medium|dark|skin|tone|sport|swim|swimmer|swimming|triathlon|woman
🏊🏾‍♂	freestyle|man|medium|dark|skin|tone|sport|swim|swimmer|swimming|triathlon
🏊🏿	dark|skin|tone|freestyle|person|sport|swim|swimmer|swimming|triathlon
🏊🏿‍♀	dark|skin|tone|freestyle|man|sport|swim|swimmer|swimming|triathlon|woman
🏊🏿‍♂	dark|skin|tone|freestyle|man|sport|swim|swimmer|swimming|triathlon
🏋	barbell|bodybuilder|deadlift|lifter|lifting|person|powerlifting|weight|weightlifter|weights|workout
🏋‍♀	barbell|bodybuilder|deadlift|lifter|lifting|powerlifting|weight|weightlifter|weights|woman|workout
🏋‍♂	barbell|bodybuilder|deadlift|lifter|lifting|man|powerlifting|weight|weightlifter|weights|workout
